CustNum	First name	Last name	Building	Entrance	Floor
1000	Zoe	Koshy	CI	S	2
1001	Wyatt	MacPherson	CF	W	5
1002	Shivam	Ng	CB	W	8
1003	Naina	Smith	BB	S	4
1004	Sarah	Bhatia	FG	N	2
1005	Rocco	Prout	BH	W	8
1006	Robert	Gaudreault	ED	S	8
1007	Semilore	Nichols	CA	W	1
1008	Ian	Hamilton	DH	W	2
1009	Reece	Okoro	BI	E	10
1010	Raymond	Richard	BG	N	5
1011	Zadian	Lane	CH	E	5
1012	Piyush	Ring	BF	W	6
1013	Khang	Yu	AB	N	6
1014	Parker	Shaw	BC	E	2
1015	Aaron	Zahid	AA	E	3
1016	Logan	Tia	AF	W	8
1017	Lily	Velasco	AE	E	2
1018	Andrew	Cinq-Mars	FD	N	10
1019	Liam	Vokey	AD	E	9
1020	Laya	Watson	AC	N	6
1021	Zachary	Leblanc	CG	W	3
1022	Katherine	Ritter	BE	N	8
1023	Waylen	Mercer	CD	E	3
1024	Kameron	Kayode	DA	W	4
1025	Kai	Jones	DB	N	2
1026	Paul	Sadoun	BD	N	2
1027	Julia	Jarette	DC	N	5
1028	William	McIntyre	CE	S	9
1029	Jordan	Hussein	DD	S	6
1030	Aaron	Babineau	FI	N	3
1031	Jonathan	Hollett	DE	E	10
1032	Nader	Sohi	BA	N	1
1033	Jacob	Hdeib	DF	N	4
1034	Herman	Gulliver	DI	W	10
1035	Paul	Boutette	FF	E	1
1036	Hargun	Gu	EA	W	10
1037	Colby	Fraser	EE	E	2
1038	Cameron	Eldlio	EH	W	8
1039	Bill	Coleman	FC	S	5
1040	Benjamin	Ford	EF	N	4
1041	Matthew	Takacs	AI	N	10
1042	Bailee	Ens	EG	S	1
1043	Sohaib	Michels	CC	N	5
1044	Marc	Thornton	AG	W	8
1045	Asma	Eddington	EI	S	4
1046	Aratha	Dubey	FA	S	9
1047	Emma	Ghosh	EC	W	1
1048	Anthony	Connell	FB	W	10
1049	Grace	Godwin	EB	W	5
1050	Ali	Chartrand	FE	S	7
1051	Abdulla	Balakumar	FH	W	5
1052	Mark	Thanamay	AH	N	9
1053	Tekifhar	Hazelnut	DG	E	3
